sujeto_pasivo,fecha,duracion_minutos,lugar,materia,asistentes,representado
"Rincón González, Ximena",2021-01-14,40,Zoom,Revisar aspectos de la regulación del rubro,"Opazo Torres, Lautaro; Vergara Torrealba, Leonardo",CORPORACION CHILENA DE LA MADERA
"Ebensperger Orrego, Luz Eliana",2021-01-14,30,Oficina del  Congreso Nacional,No se realiza reunión,"Lopez, Jessica; Moreno Guzmán, Juan Pablo",Asociación Gremial
"Rincón González, Ximena",2021-01-13,60,Zoom,Exponer la situación actual de los músicos y evaluar soluciones para el abandono del rubro.,"Manzi, Hugo; Salinas, Horacio; Osorio, Rodrigo; Simonetti, Gloria; Calderon, Rene; Duran Gonzalez, Juan Antonio; Urriola, Paula",Sociedad Chilena del Derecho de autor
"Pizarro Soto, Jorge",2021-01-13,45,Vía Zoom,Se presenta situación de sequía en Illapel,"Murillo Collado, Jose Luis; Nazer Vega, Andrés",Aguas del Valle S.A.
"García Ruminot, José",2021-01-13,60,Oficina Senado Valparaíso.,"Aplicación de la ley 21.040, (Desmunicipalización de la Educación)","SAAVEDRA SEPULVEDA, FRANCISCO; diaz, juan; oyarce, roberto; PONCE, jorge; Valdes Bustamante, Carlos Manuel",federacion funcionarios daems del maule
"Pizarro Soto, Jorge",2021-01-12,30,Vía Zoom,Se presenta inquietudes por PL que presenta tope en exámenes en el sector privado de salud por arancel FONASA,"Albornoz, Ana María; Schönherr, Alfredo",CLÍNICAS DE CHILE A.G.
"Pizarro Soto, Jorge",2021-01-12,30,Vía Zoom,Se presentó al Senador sobre nuevas tecnologías para la minería con ejemplo de Los Bronces en RM,"Somavia, Juan; Muga Escobar, René; Nilo, Claudio",Anglo American Sur
"Pizarro Soto, Jorge",2021-01-05,45,Vía Zoom,Dan opinión en lreación a FOGAPE 2 y solicitan exponer en comisión de hacienda cuando se vea,"Del Solar Cádiz, Eduardo",ASOCIACION DE PROVEEDORES DE LA INDUSTRIA DE LA SALUD A.G.
"Coloma Correa, Juan Antonio",2020-12-28,20,LA REUNION SE REALIZO EN FORMA TELEFONICA,Sobre Ley que modifica leyes N° 18.045 y N° 18.046 para establecer nuevas exigencias de transparencia y reforzamiento de la responsabilidad de los agentes de mercado ( boletín 10162-05 ),"Mena Valencia, José Manuel",JOSE MANUEL MENA
"Pugh Olavarría, Kenneth",2020-12-24,30,Video conferencia,Saludo protocolar y presentación de proyecto ampliación Puerto Terrestre Los Andes.,"Kuhlmann, Javier",Cointer Chile S.A.
"Pizarro Soto, Jorge",2020-12-24,30,Vía Zoom,Plantean inquietud por lo que se está legislando en relación a lo que es su función como asesores previsionales,"Clark Guzman, Ann; Ortiz Arriagada, Alda; Oyarzun Diaz, Bernarda; Pinto Galdames, Aida; Vergara Gonzalez, Lientur",Asociación Gremial de Asesores Previsionales de Chile
"Pizarro Soto, Jorge",2020-12-24,30,Vía Zoom,Reunión deberá reagendarse por falta de tiempo para exposiciones por problemas de agenda del Senador. Sólo alcanzaron a presentarse y dar a conocer motivo de solicitud de audiencia,"Piffre, Oriana; Mondaca, Carlos; Knaak, Luis; Del Fierro, Patricio; Ruz, Daniel",mpresa Portuaria San Antonio
"Pugh Olavarría, Kenneth",2020-12-24,45,Video conferencia,Hacer presente la preocupante situación del Turismo en Valparaíso.,"lein, karen",Hoteles de Valparaíso Asociación Gremial
"Pizarro Soto, Jorge",2020-12-22,30,Vía Zoom,Se presenta como profesional ya que su nombre puede ser considerado para nombramiento en SEVEL,"Escudero Illanes, Maria Cristina",Maria Cristina Escudero Illanes
"Pizarro Soto, Jorge",2020-12-22,30,Vía Zoom,Se plantea lo indicado en solicitud de audiencia,"Del Solar Agüero, Felipe; Ugarte, Juan José",CORPORACION CHILENA DE LA MADERA
"Rincón González, Ximena",2020-12-21,120,zoom,Situación legal y regulación de los asesores previsionales Y exposición de sus comentarios respecto al proyecto de ley actualmente en tramitación en la Comisión de hacienda del Senado de la República.,"Clark Guzman, Ann",Asociacion Gremial Asesores Previsionales
"García Ruminot, José",2020-12-21,30,video conferencia,"Exponer puntos de vista del sector forestal respecto del proyecto que incorpora todos los
proyectos forestales al SEIA.","Del Solar Agüero, Felipe; Ugarte, Juan José",CORPORACION CHILENA DE LA MADERA
"Rincón González, Ximena",2020-12-08,120,Zoom,Situación legal y regulación de los asesores previsionales,"Clark Guzman, Ann; saavedra, victor; Gutierrez, Edison; Vergara Gonzalez, Lientur; Ortiz Arriagada, Alda; Oyarzun Diaz, Bernarda",Asociacion Gremial Asesores Previsionales
"Pugh Olavarría, Kenneth",2020-12-03,45,Video conferencia,"Presentación de puntos de vista respecto de la Acuicultura Chilena, en relación a proyecto de ley sobre escape de salmones.","Cajtak, Pablo",
"Pugh Olavarría, Kenneth",2020-12-03,40,Video conferencia,Saludo Protocolar y presentación de iniciativas en blockchain e innovación.,"Grandon Hernandez, Eduardo Manuel",DTG TECHNOLOGY SPA
"Rincón González, Ximena",2020-12-02,120,Zoom,sTemas relacionados a la reforma previsión al y al proyecto que regula el gremio,"Clark Guzman, Ann",Asociación Gremial de Asesores Previsionales
"Pugh Olavarría, Kenneth",2020-11-19,45,Video conferencia,Presentación de Iniciativa para desalinización de agua y alternativas para enfrentar sequía de Petorca.,"Busso Vyhmeister, Carlos Jorge; Ruggiero Lagos, Sandra; Maturana Urrutia, Sigfrido Anibal; Bianchini Brusatori, Héctor Miguel",Tecnologías de Remediación Ambiental SpA.
"Pizarro Soto, Jorge",2020-11-18,30,Vía Zoom,Se presentó situación proyectada en materia de cambios en PL de Agentes de Mercado Financiero,"Del Solar Agüero, Felipe; Valle Lorenzini, Sebastián; Valenzuela Cornejo, Francisco",BNP Paribas Cardif Seguros Generales S.A.
"Pizarro Soto, Jorge",2020-11-18,30,Vía Zoom,Se presenta visión de Cajas de Compensación sobre Pl de Agentes Financieros,"Campero, Tomas",Asociacion Gremial de Cajas de Compensación AG
"Pizarro Soto, Jorge",2020-11-18,30,Vía Zoom,"Ver situación de donaciones a Fundaciones en tiempos de pandemia, que han disminuído y necesitan apoyo legislativo","Peralta, Roberto; Grez, Ignacio",Ignacio Grez
"Pugh Olavarría, Kenneth",2020-11-17,45,Video conferencia,Saludo protocolar y reseña de Gobernanza de Innovación y Emprendimiento de Valparaíso.,"Weber, Úrsula; Somavia, Juan",Anglo American Sur
"Pugh Olavarría, Kenneth",2020-11-12,45,Video conferencia,Saludos Protocolar y estado actual de la industria de Cruceros en Valparaíso.,"BILBAO GARCIA, JUAN ESTEBAN; Llopis Gundlach, Marcela Isabel",Valparaíso Terminal de Pasajeros SA
"Insulza Salinas, Jose Miguel",2020-11-06,45,Telemática,Proyecto de ley de Datos Personales y normativa vigente en la materia,"Toledo, Javiera",CLARO CHILE S.A.
"Pugh Olavarría, Kenneth",2020-11-05,30,Video conferencia,"Solicitantes no enviaron link de conexión, reunión zoom no se realizo","Roncaglolio, Pablo; Pavez, Gonzalo; Pavez, Javiera; Madariaga, Hernan; Muñoz, Gabriel",Corporación Pro Defensa del Patrimonio Histórico y Cultural de Viña del Mar
"Insulza Salinas, Jose Miguel",2020-10-30,60,Telemática,LEY DE PRESUPUESTO,"Contreras Jacob, Mónica",Fundaciones de Beneficencia Hogar de Cristo
"Pizarro Soto, Jorge",2020-10-30,30,Vía Zoom,Se planteo por parte de los participantes su opinión en relación a lo que se está planteando en la discusión legislativa.,"Ortiz Tello, Raul Claudio; PEIRANO C., FERNANDO",Asoc. Gremial de la Industria del Retail Financiero A.G.
"Norero Urrutia, Javier",2020-10-29,60,edifico Senado Valpo.,Derivación solicitud SG,"DURAN CASTILLO, RAFAEL",Rafael Durán
"De Urresti Longton, Alfonso",2020-10-29,60,Via zoom,Modificaciones a la Ley de Sociedades Anonimas.,"Valladares, Edmundo; Franjola, Ignacio; Ugarte, Eduardo",Club Social y Deportivo Colo-Colo
"Quinteros Lara, Rabindranath",2020-10-28,20,Teleconferencia,Información sobre funcionamiento durante pandemia y propuestas.,"Uribe, Kathleen; Eguiguren, Javier; Alt Hayal, Marcela",isapre banmedica s.a.
"Pizarro Soto, Jorge",2020-10-23,45,Vía Zoom,no dieron respuesta a la programación de audiencia,"araya, lina; GORDON, LUCY; DOLL, KATE; ACEVEDO, MARCO",asociacion de funcionarios enfermeras y enfermeros
"García Huidobro Sanfuentes, Alejandro",2020-10-22,30,reunión zoom,Mesa de trabajo plan paso a paso - Chile se recupera,"Vergara Gonzalez, Rodrigo; Donoso Rivero , Otilia",Cámara Chilena de la Construcción
"Lagos Weber, Ricardo",2020-10-22,45,Videoconferencia,Reunión protocolar,"BUSTAMANTE RODRIGUEZ, FERNANDO; Mena Améstica, Gonzalo Jorge; CORTEZ VILLANUEVA, MARISOL; CHIAPPINI SANGUINETI, GIAN PIERO; SOTO CIFUENTES, MARIA VERONICA",Cámara Chilena de la Construcción
"Araya Guerrero, Pedro",2020-10-21,30,Video Conferencia,Situación actual de la empresa Jetsmart Airlines,"Krebbers, Friederike",JetSMART AIRLINES SpA
"Araya Guerrero, Pedro",2020-10-21,30,Video Conferencia,Proyecto Código de Aguas,"Allendes, Federico",Via Marina
"Araya Guerrero, Pedro",2020-10-21,30,Video Conferencia,Exponen puntos de vista sobre definición del rol de enfermera y otros profesionales de la salud en Proyecto Código Sanitario,"jimenez, krasna; Pizarro, Claudia; Carrera Salgado, José Luis",82010041
"Muñoz D`Albora, Adriana",2020-10-20,60,Senado,"Manifestar la posición de la industria sobre el proyecto de ley sobre escape de salmones (Boletín 11571) y también informar sobre las distintas medidas y políticas implementadas por el sector acuícola en resguardo del medio ambiente, la seguridad de las operaciones y las relaciones con comunidades y actores territoriales.","Del Solar Agüero, Felipe; Picón Gutiérrez, Francisco Roberto; Clement, Arturo; Baltierra, Maria Alicia; Ramirez Moraga, Esteban Francisco; Soto Alvarado, Raimundo Andrés; Lisboa Gutiérrez, José Tomás",Asocacion de la Industria del Salmón de Chile AG
"Araya Guerrero, Pedro",2020-10-20,30,Video Conferencia,Proyecto ley de adopción,"Farrugia Fletcher, Kevan John",UNIENDO FAMILIA
"Alvarado Andrade, Claudio",2020-10-14,60,oficina parlamentaria Valparaíso,Situación forestal en Chile y perspectivas del área,"Palma Reglá, Braulio; Ugarte, Juan José; Torres Jimeno, Francisco José",CORPORACION CHILENA DE LA MADERA
"Pugh Olavarría, Kenneth",2020-10-13,45,Video conferencia,"Saludo Protocolar, presentación de directiva y desafíos de la transformación digital.","CORTEZ VILLANUEVA, MARISOL; BUSTAMANTE RODRIGUEZ, FERNANDO; Mena Améstica, Gonzalo Jorge; CHIAPPINI SANGUINETI, GIAN PIERO; SOTO CIFUENTES, MARIA VERONICA",Cámara Chilena de la Construcción
"Galilea Vial, Rodrigo",2020-10-13,30,"Avda. Nueva Costanera 4091, piso 4.",Contingencia económica nacional,"Opazo, Luis; Mena Valencia, José Manuel; LAVAL ZALDIVAR, JUAN ESTEBAN",ASOCIACION DE BANCOS E INSTITUCIONES FINANCIERAS AG.
"Quinteros Lara, Rabindranath",2020-10-09,15,Teleconferencia,Proyecto inmobiliario en localidad de Alerce,"Martabid Razazi, José Miguel; Martabid Crutchik, José Esteban; Alemparte Mery, Gabriel; Jordan Fuchs, Pablo Ramón; Miralles Abarca, Claudia",Inmobiliaria Quebec Limitada
"Quinteros Lara, Rabindranath",2020-10-09,15,Teleconferencia,Prohibición de ingreso a Eleam,"Miralles Abarca, Claudia; Ayala Marfil, Enrique; Rodríguez Taborga, Fernando; Espinoza Wolleter, Alejandro; López Pérez, Raúl",Servicios Senior S.A.
"Pugh Olavarría, Kenneth",2020-10-08,45,Video conferencia,"Saludo Protocolar, Presentación AMDD en materia señalada en solicitud.","Maulén Muñoz, Cristian Mauricio; Silva Concha, Paulina; Cabrera Silva, Carolina; Larson Conus, Marlene Aliette; Mohor Fuster, Elías",Asociación de Marketing Directo y Digital (AMDD)
"García Ruminot, José",2020-10-07,15,Oficina Senado Congreso,Prórroga Beneficio Tributario para adquisición de la infraestructura educacional,"HERRERA, Hernan; Ketterer Yavar, Rodrigo; Hasbun, Alejandro",corporaciónnacional de colegios particulares
"Coloma Correa, Juan Antonio",2020-10-02,25,OFICINA PARLAMENTARIA TALCA,"Revisión de situación de la empresa, por no renovación de patente por tema administrativo cambio de uso de suelo, después de 3 años de tener patente definitiva en la localidad de Teno, no se nos renovó la misma lo que nos obligaría a cerrar dejando más de 90 familias sin trabajo.","DIAZ SANSUR, RUBEN DARIO",Mundo Sur Spa
"Rincón González, Ximena",2020-10-01,340,video,Situación del rubro ante la modificación legal en ciernes que incide.,"Colossi, Daniel Gustavo",GENERAL MOTORS CHILE INDUSTRIA AUTOMOTRIZ LTDA.
"Rincón González, Ximena",2020-10-01,300,video,Conocer acerca del desarrollo del proyecto de ley sobre tasas de intercambio y exponer sus comentarios,"Picón Gutiérrez, Francisco Roberto; Del Solar Agüero, Felipe; Goldenberg, Jorge; Blumel Araya, Ricardo; Santelices Abarzua, Patricio; Tocornal Cooper, Josefina",Transbank S.A.
"Ebensperger Orrego, Luz Eliana",2020-09-25,30,por zoom,"No realizada,  se posterga a futuro,  fecha por confirmar","currin aracena, NATALIA; COEVAS ARAYA, LUIS; PANTOJA CARDENAS, JORGE; Barrera Perret, Christián; LAZCANO, HERNAN; POLANCO, FELIPE",Cámara Chilena de la Construcción
"Insulza Salinas, Jose Miguel",2020-09-25,30,video conferencia,"La reunión trató la agenda prioritaria de Fundación Iguales que incluye los proyectos de ley sobre matrimonio igualitario, filiación de hijos de parejas del mismo sexo, reforma a la ley antidiscriminación.","Injoque Alegría, Alessia Daniela",Fundación Iguales
"Pizarro Soto, Jorge",2020-09-17,30,Vía Zoom,Se presentan y plantean situación de esta Institución con presupuesto 2021 por la pandemia. Se propone revisar la propuesta preuspuestaria y se acuerda enviar una.,"Romero Buccicardi, Juan Cristobal; Egenau Pérez, Paulo; Contreras Jacob, Mónica",Fundaciones de Beneficencia Hogar de Cristo
"Pizarro Soto, Jorge",2020-09-17,30,Vía Zoom,Se presentan como Institución y plantean la situación del contrabajndo de cigarrillom lo que afecta en términos económicos por no pago de impuestos y además lo que afecta a los consumidores por los ingredientes de estos cigarrillos,"Vandorsee Ramírez, Julio Germán; Osorio, Sebastián; Cabrera Jaramillo, Jorge Eduardo",British American Tobacco Chile Operaciones SA
"Pizarro Soto, Jorge",2020-09-17,30,Vía Zoom,"Se plantea situación de conductores de aplicaciones, no sólo en tiempo de pandemia, sino que permanetemente.","soto, wilfredo",gremio conductores de Aplicaciones de concepcion y chillan
"Pugh Olavarría, Kenneth",2020-09-14,45,Video conferencia,"Saludo Protocolar y Presentación Empresa de Ciberseguridad Cyber Dacians,","Staicu, Félix",Félix Staicu
"Angelbeck Silva, Robert Patrick",2020-09-14,30,Video conferencia,"Candidaturas reservadas para personas con discapacidad en la convención constitucional, Boletín Nº 13.129-07","selles, pablo; Ramirez, Jaime",
"Allende Bussi, Isabel",2020-09-07,60,VIDEO CONFERENCIA,"ACTA DE REUNIÓN CON CIENTÍFICOS 
7 de septiembre de 2020

Se explicó por parte de los académicos los procesos básicos a través de los cuales funciona la biorremedación y se hizo un recuento de la literatura científica existente, la cual data de los años 70, además de la contaminación histórica en Las Salinas. Senadora Allende recalcó la ausencia de una norma de calidad de suelos en Chile. Se propuso por parte de la senadora más diálogo entre la ciudadanía y el mundo científico. 

Asistieron: 
Michael Seeger
Marcel Szantó
Luis álvarez
Salvador Donghi
Roberto Orellana

Asistentes de la oficina parlamentaria de Isabel Allende: 
Senadora Isabel Allende
Claudio Hurtado
Haydé Cárdenas
Alexandre Sánchez","Seeger Pfeiffer, Michael; Szanto Narea, Marcel; Donghi Rojas, Salvador; Orellana Román, Roberto; Alvarez, Luis",Michael Seeger
"Pizarro Soto, Jorge",2020-09-04,30,Vía Zoom,PL de aplicaciones en transporte de pasajeros por demora en su tramitación y necesidad de su pronta regulación.,"VALDES OSSA, FERNANDO; Escribano, Gonzalo",BEAT
"Rincón González, Ximena",2020-09-04,30,video,Reforma  previsional y materis relacioionadas,"Lindemann, Luis ; Clark Guzman, Ann; Clark Guzman, Ann; saavedra, victor",Asociación Gremial de Asesores Previsionales
"Pugh Olavarría, Kenneth",2020-09-03,30,Video conferencia,Presentación de iniciativa para técnica de infiltración de agua en contexto de combate a la sequía.,"Fernandez Schneider, Ricardo Jorge; Baumann Frindt, Erich Andres",Aguas del Pacífico Spa.
"Pugh Olavarría, Kenneth",2020-09-01,60,Video Conferencia,Exponer avances legislativos en digitalización del Estado,"Mackenzie,, Simon; Angulo, Fernando",Asociación Nacional de Agentes de Naves A.G
"Pugh Olavarría, Kenneth",2020-08-31,30,video conferencia,"Presentación Beat Chile, y observaciones a los alcances del proyecto de ley que regula las aplicaciones de transporte remunerados de pasajeros.","Escribano, Gonzalo; VALDES OSSA, FERNANDO",BEAT
"Pugh Olavarría, Kenneth",2020-08-27,30,Video Conferencia,Campus 5 G y Ciberseguridad,"Villanueva Bianchini, Stefano Augusto; Luciano, Bruno",Nokia Solutions anda Networks Chile Ltda
"Pugh Olavarría, Kenneth",2020-08-25,30,video conferancia,"Exposición de Temáticas referentes a la estrategia de salud, estado de situación de los recursos durante la pandemia y consideraciones para presupuesto 2021","DURAN, CHRISTIAN",Christian Durán Jeldes
